Year,AvgHousePrice,NumBedroom
2020,279025.35803459404,1
2021,318542.526594809,1
2022,360104.9825705062,1
2023,377406.3366540639,1
2024,395074.5044480922,1
2000,75338.46168813406,1
2001,79964.6604528113,1
2002,83487.26587903565,1
2003,91149.61930675048,1
2004,101257.57633816764,1
2005,115578.07012348616,1
2006,127378.8143871598,1
2007,133896.9953081977,1
2008,131506.26049373517,1
2009,120548.7435513384,1
2010,112875.36077882478,1
2011,106735.03842229172,1
2012,96888.92584009028,1
2013,99074.1011534438,1
2014,101355.25240712488,1
2015,100378.08591829294,1
2016,99693.71318129182,1
2017,103534.04121553962,1
2018,109018.09814723174,1
2019,115554.52228724954,1
2020,122562.4073303082,1
2021,139452.7134876113,1
2022,149395.3860436938,1
2023,155760.87615084255,1
2024,157464.32111528656,1
2000,63195.59833786384,1
2001,70775.28074797403,1
2002,77526.25417240689,1
2003,85457.06697572792,1
2004,97652.26570462438,1
2005,112735.60321521494,1
2006,118304.02307138244,1
2007,119403.38596702834,1
2008,115930.01996706567,1
2009,109131.63561832764,1
2010,104467.74317344108,1
2011,99689.3241402459,1
2012,97878.66095834343,1
2013,98168.3664499105,1
2014,101100.1661056249,1
2015,103250.67958324896,1
2016,107329.17677491982,1
2017,115264.26462491669,1
2018,123678.86754641232,1
2019,131092.49479636186,1
2020,143563.99097453133,1
2021,175410.54866136852,1
2022,201895.26394939373,1
2023,218527.2951970773,1
2024,231793.82665858645,1
2000,60704.87139165522,1
2001,63931.828591050624,1
2002,66758.78619650395,1
2003,67625.34423130771,1
2004,70587.89878742087,1
2005,73486.85126328003,1
2006,74708.44282197606,1
2007,71991.95693359764,1
2008,64293.64551676889,1
2009,56840.05335427068,1
2010,53172.50844409723,1
2011,49289.57622153504,1
2012,49231.23768178634,1
2013,53338.61311504008,1
2014,59099.949419101715,1
2015,63668.88386962184,1
2016,68234.68497360584,1
2017,73682.9378481927,1
2018,80280.84697968382,1
2019,87312.89666342907,1
2020,94071.24321345688,1
2021,109734.53146317268,1
2022,124140.3765675971,1
2023,129487.61783173431,1
2024,133681.726215657,1
2000,58273.918180597495,1
2001,66781.26913381607,1
2002,73255.70645826079,1
2003,78884.73078984124,1
2004,81728.1089744503,1
2005,91807.7566789781,1
2006,100911.01568217782,1
2007,95380.70428638675,1
2008,89492.8612817278,1
2009,85820.11818010993,1
2010,81968.53709943083,1
2011,75234.28100877216,1
2012,76347.44099357318,1
2013,80947.69916068905,1
2014,86291.0413465366,1
2015,90354.1378268776,1
2016,95245.28862123158,1
2017,100190.14435898083,1
2018,112935.39523423737,1
2019,121387.03438151402,1
2020,129639.29920803312,1
2021,143832.77177403425,1
2022,158357.0718745875,1
2023,162763.7801995749,1
2024,165717.13714085132,1
2000,53939.65006155014,1
2001,58431.3853508317,1
2002,63559.60550672667,1
2003,68465.69045839742,1
2004,73618.82747712485,1
2005,75369.9689190793,1
2006,74223.37445171384,1
2007,75766.86654851765,1
2008,68373.63880270104,1
2009,60870.307706633415,1
2010,58091.21589722672,1
2011,53126.175860719035,1
2012,50250.06416030432,1
2013,50435.202794644545,1
2014,52996.92645214046,1
2015,53465.46933604792,1
2016,58956.43348315551,1
2017,61969.67926354544,1
2018,65995.18387342329,1
2019,68807.18048521833,1
2020,71648.31136372253,1
2021,83165.23659619119,1
2022,93255.2437499302,1
2023,97848.10497278564,1
2024,100911.43644153338,1
2008,69916.9264516071,1
2009,70116.60230927987,1
2010,67105.75126663076,1
2011,62378.04438933815,1
2012,57951.40876116058,1
2013,56901.395479423496,1
2014,80681.48378252443,1
2015,83044.65706464187,1
2016,90024.73880337784,1
2017,93568.47430617044,1
2018,99293.32046392986,1
2019,102307.71566974767,1
2020,106160.4589380392,1
2021,107990.63874057303,1
2022,114929.92796060906,1
2023,115550.81809437602,1
2024,103290.17665038074,1
2005,143198.25334421964,1
2006,144106.17609971546,1
2007,158637.3874167316,1
2008,166431.0569979916,1
2009,148805.11467953588,1
2010,146459.34783683426,1
2011,138898.4810006148,1
2012,122666.35658038792,1
2013,127660.32543342396,1
2014,134882.45439045326,1
2015,138668.98323504382,1
2016,148235.57984547477,1
2017,158482.58166924314,1
2018,169954.5093020089,1
2019,179360.27710997165,1
2020,196632.01487614185,1
2021,247421.04234426992,1
2022,301767.16278555215,1
2023,295207.5215665844,1
2024,298996.4866809627,1
2000,69252.90724867742,1
2001,72921.47828637453,1
2002,75054.92716258204,1
2003,80674.3981099352,1
2004,84978.91536594805,1
2005,87515.86504965874,1
2006,95582.97880895672,1
2007,101435.55916312402,1
2008,98028.66250837652,1
2009,95801.78356110209,1
2010,91438.9953388314,1
2011,86435.13745956043,1
2012,82701.42028003422,1
2013,83050.4709578256,1
2014,84326.82412367922,1
2015,83952.4445826225,1
2016,82870.33867919986,1
2017,84844.56952396904,1
2018,91145.26080431664,1
2019,95054.7879198189,1
2020,103446.17264015102,1
2021,124585.1137834604,1
2022,148542.27205359432,1
2023,156420.18671832763,1
2024,160803.72811373515,1
2011,76807.57525823852,1
2012,86533.95843877883,1
2013,107218.61072278876,1
2014,119869.23867921284,1
2015,127220.5607161278,1
2016,117089.06994920672,1
2017,107362.84289489596,1
2018,101366.65770837644,1
2019,98038.46993486256,1
2020,98397.29260208616,1
2021,100154.67842687512,1
2022,104801.2712093184,1
2023,108460.112001471,1
2024,110473.4685534614,1
2000,81779.10877481145,1
2001,83593.52492600516,1
2002,86609.32292679597,1
2003,83349.85679750958,1
2004,79508.10540310526,1
2005,84906.06057475964,1
2006,79682.01443007744,1
2007,69636.93852580916,1
2008,68606.07341060306,1
2009,61678.52354980381,1
2010,60615.69321739475,1
2011,57671.12203255249,1
2012,57469.93350667685,1
2013,58914.82880030867,1
2014,62189.54804748284,1
2015,65338.24337738548,1
2016,68811.45685500566,1
2017,72058.7010411097,1
2018,78443.9017100753,1
2019,83422.30007197124,1
2020,89325.00264838438,1
2021,100581.57638561768,1
2022,110915.81483589052,1
2023,116001.93881362148,1
2024,118034.50141058202,1
2000,61728.158835689246,1
2001,69298.85632908638,1
2002,78692.76417832372,1
2003,88767.48707283185,1
2004,99874.9706000849,1
2005,112473.93710861336,1
2006,120163.73297027688,1
2007,120872.87307159552,1
2008,110265.7535290793,1
2009,103395.83523595968,1
2010,98680.73134476092,1
2011,93257.51214993876,1
2012,89080.05991983146,1
2013,90522.75426837412,1
2014,92625.34303289396,1
2015,96282.78687965169,1
2016,99668.68912176436,1
2017,105890.10776204984,1
2018,115163.12614496284,1
2019,122307.26749944816,1
2020,133698.86969794062,1
2021,163860.74664008335,1
2022,193574.48473083304,1
2023,211028.845672606,1
2024,221555.66474643737,1
2000,58906.81758576709,1
2001,64185.79856264645,1
2002,73277.93901543648,1
2003,87996.6206095386,1
2004,105346.3620660927,1
2005,126543.00792428276,1
2006,144939.4313348975,1
2007,146424.0514936241,1
2008,141211.09527373724,1
2009,127241.09109442304,1
2010,116915.51048452331,1
2011,106102.0835480418,1
2012,106492.59322841674,1
2013,106985.0926585531,1
2014,107577.5811646719,1
2015,106347.96900153598,1
2016,104917.03754574255,1
2017,105972.02849373576,1
2018,111439.47316400948,1
2019,117765.63785869528,1
2020,129366.74878315016,1
2021,152479.61169378154,1
2022,182510.7601083511,1
2023,199472.6811303048,1
2024,209483.3463989155,1
2002,85816.83744249008,1
2003,92819.6740348164,1
2004,95157.77405285549,1
2005,100970.65307334428,1
2006,114245.28681273058,1
2007,125023.3226749,1
2008,126063.61138796112,1
2009,117468.69540828964,1
2010,109956.30105930012,1
2011,104790.55932124154,1
2012,114828.36624720709,1
2013,115873.42063334108,1
2014,109924.3622686358,1
2015,114153.01169091632,1
2016,126310.82663189578,1
2017,137300.24516170978,1
2018,149044.6841616778,1
2019,151069.40715663982,1
2020,167828.23071712768,1
2021,192487.58938765276,1
2022,215257.8157549232,1
2023,208265.8912524812,1
2024,213311.89101268724,1
2000,82809.19524865592,1
2001,86614.95758636786,1
2002,92060.72080040156,1
2003,100138.70684976624,1
2004,120510.28219024124,1
2005,159462.82081879428,1
2006,176998.6891292361,1
2007,174352.08723256696,1
2008,142002.5584363144,1
2009,88745.86473400814,1
2010,82137.13209021691,1
2011,74989.60820566614,1
2012,72277.93859394084,1
2013,81991.63688515467,1
2014,96564.6125474147,1
2015,107505.56586425446,1
2016,120058.34464839556,1
2017,135794.674040376,1
2018,158982.67279281752,1
2019,174017.62729793313,1
2020,191970.76162473203,1
2021,224394.039335108,1
2022,259407.46971591725,1
2023,246094.35948591097,1
2024,248564.171050133,1
2000,50767.07725179019,1
2001,54325.798199466495,1
2002,58800.21984489066,1
2003,63801.80564825148,1
2004,70363.51927931138,1
2005,78522.93954699283,1
2006,85487.10312135308,1
2007,88373.11277269393,1
2008,88974.33357044136,1
2009,85070.39178419558,1
2010,83957.57705381306,1
2011,82475.74448884906,1
2012,82500.40414709183,1
2013,83822.20431585023,1
2014,85781.13197496107,1
2015,87462.08730254284,1
2016,89856.67447185433,1
2017,93875.79056258258,1
2018,98308.49792248975,1
2019,103115.76472980336,1
2020,110382.49595963648,1
2021,127181.04842640288,1
2022,141863.24151844572,1
2023,146915.93056555407,1
2024,151324.62313527334,1
2000,47791.00967518467,1
2001,50096.153930133936,1
2002,51577.12559156685,1
2003,53660.74536641933,1
2004,55594.359730137,1
2005,57024.29134067911,1
2006,57887.47044879256,1
2007,57771.67138046485,1
2008,56334.61858304657,1
2009,54920.17245724374,1
2010,52625.224737443306,1
2011,49691.42537253527,1
2012,48619.34467084546,1
2013,49971.880748091186,1
2014,51690.379605189475,1
2015,53905.99772836012,1
2016,55429.60889976047,1
